artifact_id,artifact_path,artifact_type,manuscript_label,generator_script,generator_command,source_paths,source_checksums,analysis_id,evidence_release_id,commit_sha,output_checksum,scope,latex_location,word_location,validation_status
TAB-T01 (plan T04),papers/tables/T01.tex,table,tab:cec2011-perproblem,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T1.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2011/descriptive_stats_cec2011.csv,T1.csv=dc0802c336c9f8bafd9637fc26864bada92338dae876d929be8fb4b1fb130f82;descriptive_stats_cec2011.csv=6166c0182d6bbe8d10b8f01949d688b633d300cb47e250db24e7fa87e19877a9,descriptive-export (cec2011 best-fitness basis),rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T01.tex=faa24e374077a6f9efc467411d060ee0a21722f33e8729c6a388e6e6be289545,main,supplementary.tex,papers/tables/word_sources/T1.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md) | SE-022 2026-07-22: manuscript_label repaired from 'tab:cec2011' (label did not exist in the shipped sources)"
TAB-T02,papers/tables/T02.tex,table,tab:h2h_d10,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T2.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D10.csv,T2.csv=a0cb2b2a2ea99bb5f6256e5ec2eede55a38ed9402516b6e8b33fd2d141511a7f;descriptive_stats_cec2017_D10.csv=db7e7c46973867f209dff582d587172f6700394a332c183ad41369cb6c03c5e2,AN-DESC-2017-D10,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T02.tex=c29dd5463f4a034da94ac9151851d899188441d5aaf930c154035d3810dc3951,supplement,supplementary.tex,papers/tables/word_sources/T2.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T03,papers/tables/T03.tex,table,tab:h2h_d30,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T3.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D30.csv,T3.csv=8d506899266cdf1aa911b3a222642aef5702cc5a8aba2a7d53ad58b12a175260;descriptive_stats_cec2017_D30.csv=833d870ce50dd3e23f379fd59f18e3e87f238cb3fe5c5927262a37050e87a670,AN-DESC-2017-D30,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T03.tex=daf9b9682afd7a34a1d0d5b584d47cfcfd20f9b5f1f27bfc6633e794617d28b4,supplement,supplementary.tex,papers/tables/word_sources/T3.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T04,papers/tables/T04.tex,table,tab:h2h_d50,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T4.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D50.csv,T4.csv=1df650cbf6f4a21047b28ffe7e2000ecbefe63ca3d9f7a7740882a740798e5f2;descriptive_stats_cec2017_D50.csv=d1e47ba789121466d2f420902e190b63ce2be561bbf9a075ac45744425b589b6,AN-DESC-2017-D50,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T04.tex=ff250ee00d1bc2bb8869dc43f839b55d9ad655fe62a0f5b027f8affab670ca8c,supplement,supplementary.tex,papers/tables/word_sources/T4.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T05,papers/tables/T05.tex,table,tab:h2h_d100,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T5.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D100.csv,T5.csv=9a2f59652a39dbc310e886673a7215e672e96e6e684eedddf6a35f75342e8075;descriptive_stats_cec2017_D100.csv=b4a9c54f61ae6d6c3d00ee563300ab850b815542dcda8887f924747a4e10538b,AN-DESC-2017-D100,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T05.tex=245b73977c71ccdca811b307000171ba774a33659fc6bc979cac5b37c26e5b31,supplement,supplementary.tex,papers/tables/word_sources/T5.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T06 (plan T04-STATS),papers/tables/T06.tex,table,tab:cec2011-stats,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T6.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2011/wilcoxon_holm_cec2011.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2011/descriptive_stats_cec2011.csv,T6.csv=bacb11e539dbc9724ec359737a91bd6ba713a12c5ad4f91d4a47532c60bada52;wilcoxon_holm_cec2011.csv=16276cf8c7f2bfc75e7050e496229c84bfc9ad3ba759d228d7ac7c34a3a72696;descriptive_stats_cec2011.csv=6166c0182d6bbe8d10b8f01949d688b633d300cb47e250db24e7fa87e19877a9,AN-PW-2011-NATIVE,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T06.tex=3eb4918885e02f6480cff5482d73f0aa543e843eec41ef04a7bea3f8e24ce421,supplement,sections/performance.tex;supplementary.tex,papers/tables/word_sources/T6.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T07 (plan T01-D10),papers/tables/T07.tex,table,tab:cec2017-d10,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T7.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D10.csv,T7.csv=7debdfd6c7d335a4112fb11a6050efa514feaa3045b49f784d12b68c63cc735d;descriptive_stats_cec2017_D10.csv=db7e7c46973867f209dff582d587172f6700394a332c183ad41369cb6c03c5e2,AN-DESC-2017-D10,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T07.tex=7d55830c65a0c3d23d750c45312935cce3eab896095cdf5deb4cee5f564566b5,supplement,supplementary.tex,papers/tables/word_sources/T7.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T08 (plan T01-D30),papers/tables/T08.tex,table,tab:cec2017-d30,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T8.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D30.csv,T8.csv=6fdaeaa79d0fc4941a277c89381acfce464253a7c1516354285fab5842a8cda3;descriptive_stats_cec2017_D30.csv=833d870ce50dd3e23f379fd59f18e3e87f238cb3fe5c5927262a37050e87a670,AN-DESC-2017-D30,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T08.tex=4efe482fee31f9e03a16244b4bf9219b0debfd262c20e428c655bf53c4f05f50,supplement,supplementary.tex,papers/tables/word_sources/T8.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T09 (plan T01-D50),papers/tables/T09.tex,table,tab:cec2017-d50,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T9.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D50.csv,T9.csv=6582e050b43baebf1cdb32b6a5524ec836d9b8ded2b5d27418428e6830006aa8;descriptive_stats_cec2017_D50.csv=d1e47ba789121466d2f420902e190b63ce2be561bbf9a075ac45744425b589b6,AN-DESC-2017-D50,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T09.tex=8118994cb7de06c0fd59f14feaa8b184f23131858e8e39081c57b8ca0b4a85c0,supplement,supplementary.tex,papers/tables/word_sources/T9.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
TAB-T10 (plan T01-D100),papers/tables/T10.tex,table,tab:cec2017-d100,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py --skip-ablation,benchmarks/cec_reference_results/_paper_tables/T10.csv;papers/analysis/rel-2026-07-20-67d9345f9/cec2017/descriptive_stats_cec2017_D100.csv,T10.csv=4c249a637a1273ce3d51f6294d93afb3c0223cfe967b82b96dac499f3d5961dc;descriptive_stats_cec2017_D100.csv=b4a9c54f61ae6d6c3d00ee563300ab850b815542dcda8887f924747a4e10538b,AN-DESC-2017-D100,rel-2026-07-20-67d9345f9,pre-migration monorepo working tree (SHA does not resolve in this repository; provenance is the evidence-release manifest in evidence_release_id),T10.tex=7e1ec88e9b9c3913a1b76d709f1868e70ef7ca0c3dd2c0675857b3e0436e8be3,supplement,supplementary.tex,papers/tables/word_sources/T10.json,"validated-value-level (PASS, 0 mismatches; papers/build_prompt_phases/phase_07/exhibit_validation_report.md)"
